,Sub,Version,Type,ID,RT1,RT2,RT3,RT4,RT5,RT6,Ans,AnsSpeed
569,2,B,3,16,0.500411309,0.500547096,0.65048761,0.383781654,0.56713329,0.600215996,1,1.367170237
570,2,B,3,20,0.533775062,0.516792993,0.550487926,0.433371569,0.483814101,0.600508491,1,0.61731451
571,2,B,3,40,0.500127498,0.583796417,0.55049661,0.917160803,0.733829693,0.517092199,1,1.50072354
572,2,B,3,60,0.450663501,0.46720071,0.533506646,0.450453505,0.500242759,0.550527399,1,0.734120214
573,2,B,2,63,0.483810154,0.450456663,0.550311087,0.58369063,0.583876942,0.683808733,1,1.667064291
574,2,B,2,57,0.500546701,0.533987032,0.483773049,0.533951507,0.46718571,1.417497902,1,1.467160842
575,2,B,1,32,0.417448956,0.600492307,0.717103014,0.917189223,0.450481926,1.050496215,1,1.434071031
960,3,B,1,23,0.850445137,0.767135027,1.250462031,0.917081067,0.817183223,2.417541322,1,9.217128277
961,3,B,3,43,0.817213618,0.60037073,0.683840706,0.583777865,0.600800591,0.500439729,1,1.650439058
962,3,B,3,30,0.600449282,0.717159066,0.850494478,0.58377076,0.615808616,0.701646971,1,1.617134908
963,3,B,2,52,0.683819785,0.766812138,0.967235446,0.783798154,0.683803207,0.98377897,1,1.133735668
964,3,B,2,53,0.683700182,0.700213312,0.667386786,1.300516544,0.517206276,3.70056699,1,4.351119336
965,3,B,3,29,0.567057897,0.800416677,0.600482439,0.567110396,0.600435466,0.550491478,1,1.083820891
966,3,B,1,18,0.717097883,1.483824759,1.250613608,1.133833956,1.567073686,0.650426032,1,1.40036702
967,3,B,3,28,0.683346109,0.834007006,0.58385089,0.567440785,0.533845324,0.500462623,1,1.13409132
968,3,B,3,48,0.867068791,0.633788167,0.683749918,0.517239038,0.56719921,0.600493886,1,0.917083041
969,3,B,1,19,0.817177302,1.083743918,0.733749168,1.183830838,0.800612068,1.183816627,1,2.750557556
970,3,B,3,24,0.583730103,0.683855706,0.583826417,0.55051003,0.633730142,0.567211841,1,2.033561119
971,3,B,2,51,0.783726708,0.933877613,0.850368954,1.283894468,0.500101051,2.467178605,1,1.983856337
972,3,B,3,63,0.683802417,0.683772023,0.650603266,0.633867113,0.517030226,0.567136843,1,1.817102304
973,3,B,1,25,1.067230394,0.833810825,0.750531899,0.650454453,0.567188947,1.33387635,1,2.033911244
974,3,B,2,34,1.217219854,0.767164632,1.250501504,1.617021621,0.583541817,0.683502422,1,1.917330537
975,3,B,3,35,0.850531583,0.717323668,0.550401085,0.600533754,0.517204302,0.533908086,1,1.016787467
976,3,B,1,17,0.700383046,0.667157447,0.65048011,1.066835269,0.500490649,1.116729916,1,1.900504781
977,3,B,3,14,1.250462426,0.733891666,0.767111343,0.817150461,1.716849203,0.617144777,1,1.850829604
978,3,B,3,65,0.700562648,0.583182218,0.618182522,0.566813954,0.617147935,0.517372852,1,1.450447189
979,3,B,3,15,0.850577766,0.683871495,0.650308402,0.483731208,0.650459189,0.617095041,1,2.333821483
980,3,B,1,33,0.68388531,0.783783944,0.66716179,0.650381822,0.65052432,0.80039023,1,1.200570937
981,3,B,2,48,0.650446558,0.767442127,0.633774747,0.667125869,0.950643765,0.700526333,1,1.917063304
982,3,B,3,33,0.56711908,0.567035792,0.517048384,0.617032673,0.517144303,0.684019519,1,0.917168697
983,3,B,2,54,0.667115606,0.633841851,1.967198342,0.56733855,0.650575635,1.116756757,1,2.917264617
984,3,B,1,3,0.983689367,0.633802378,2.18364492,0.700472255,0.700458045,0.700446203,1,2.683792549
985,3,B,1,16,0.550153984,0.667055212,0.58377076,0.600456387,0.933894981,1.76690332,0,4.250186115
986,3,B,2,43,0.700478571,0.650510899,1.100572437,0.633768036,0.633476331,2.700572911,1,2.417154487
987,3,B,3,3,0.767208447,0.550471347,0.500479597,0.467104001,0.533848087,0.450359559,1,1.167244288
988,3,B,3,10,0.81711454,0.517163645,0.683699787,0.550410164,0.483774628,0.733793378,1,1.000509596
989,3,B,2,42,0.867124053,0.617211486,1.983828706,0.917132777,0.583852864,0.583750234,1,2.400550964
990,3,B,3,4,1.067206315,0.600499412,0.450549425,0.617557664,0.467147421,0.517327458,1,1.150492347
991,3,B,3,9,0.733986796,0.900472018,0.583833917,0.650484452,0.500133813,0.51718575,1,1.166711403
992,3,B,3,1,0.967124132,1.050457531,0.667196131,0.583791286,1.067237893,0.683832022,1,1.350544214
993,3,B,2,37,0.584016677,0.867185236,0.600446913,0.783758286,0.567113554,0.66679627,1,3.48423212
994,3,B,3,8,0.650577608,0.450509952,0.583808654,0.483790023,0.550445295,0.467210578,1,1.200484886
995,3,B,1,2,0.567003424,0.567095396,0.583856811,1.166986924,0.850529609,0.633797246,1,1.500633936
996,3,B,1,32,0.55048911,0.700563437,0.850488557,0.600693225,1.067246183,1.350358296,1,1.884019676
997,3,B,3,20,0.683905442,0.58381497,0.533787694,0.583961809,0.483599368,0.483416213,1,1.76698424
998,3,B,2,63,0.634030137,0.55045911,0.583824838,1.050338718,0.51714075,0.78380368,1,4.333830167
999,3,B,2,57,0.700514491,0.617016884,0.667248235,1.133839877,0.467435179,1.150503399,1,1.317211249
1000,3,B,3,16,0.483640815,0.467152158,0.466973345,0.467189263,0.417124488,0.500501307,1,1.917094883
1001,3,B,3,39,0.583773918,0.550483584,0.484020545,0.43410103,0.683931099,0.467154526,1,0.700461597
1002,3,B,2,62,0.600587437,0.750341244,0.600389283,0.667221788,0.817088093,1.117383193,1,4.367076291
1003,3,B,3,40,0.417167118,0.433774194,0.417135935,0.417313958,0.400433334,0.467150974,1,1.917234617
1004,3,B,3,55,0.950693896,0.500489465,0.383462713,0.40064412,0.450481926,0.617126619,1,1.883396398
1005,3,B,1,30,0.917098435,0.667165342,1.300567858,0.933641959,2.183828864,0.900041762,1,1.582966695
1006,3,B,1,26,0.517042068,0.601659523,0.817105462,0.650280377,1.450557319,0.700489623,1,4.267426732
1007,3,B,3,60,0.467140711,0.400448334,0.45054074,0.383732313,0.400501228,0.466955583,1,1.717068673
336,4,B,3,65,0.600424808,0.817396378,0.683830443,0.450434953,0.4337588,0.450481531,1,1.183839522
337,4,B,1,33,0.617372141,1.033790062,0.70043515,0.533790852,1.650703922,1.1838561,1,5.650261035
338,4,B,3,33,0.667329155,0.583677604,0.583700498,0.417074357,0.467158869,0.533825193,1,1.100471386
339,4,B,1,25,1.01758048,1.000544727,1.21718946,0.800456939,1.11719846,1.033944402,1,5.067282498
340,4,B,3,35,0.50045236,0.633781852,0.433818009,0.350453821,0.383780865,0.350524478,1,0.88378047
341,4,B,3,63,0.600502175,0.717151566,0.683917678,0.600572043,0.433446568,0.300488123,1,0.700464755
342,4,B,2,34,0.73371759,0.917163566,0.800439571,0.983750155,0.750535056,0.784014071,1,2.08393852
343,4,B,1,17,0.450560477,0.467177421,0.583760497,0.533791246,2.467214131,0.767173316,1,3.217288932
344,4,B,3,15,0.53393177,0.550180036,0.600344678,0.55040148,0.683802417,0.467073607,1,1.483766339
345,4,B,2,54,0.417285537,0.550523057,3.533596644,0.934080899,0.883872048,1.983752918,1,3.000203681
346,4,B,3,14,0.600642304,0.667136527,0.783826969,0.600456781,0.450705738,0.367988117,1,1.867059712
347,4,B,2,48,0.533677564,0.583795628,0.617102146,1.083610105,1.267109764,1.067151842,1,4.617266353
348,4,B,3,10,0.750849261,0.633867903,0.466794533,0.550624107,0.450535609,0.450174431,1,1.183756234
349,4,B,2,37,0.517100093,1.267226209,1.050515162,1.150525109,0.91717146,2.150441426,1,5.283856969
350,4,B,3,1,0.400437676,0.550401085,0.367058923,0.367166289,0.317383746,0.350428164,1,1.017146671
351,4,B,2,42,0.400517017,0.433796299,0.483968046,0.550395954,0.933935244,1.467102027,1,5.850807894
352,4,B,1,3,0.467154921,0.46712729,0.667190605,0.417467903,1.433626565,1.983842127,1,2.867126816
353,4,B,1,16,1.000476439,0.617207539,0.783856574,1.700480544,1.050545951,0.850720658,0,11.5171443
354,4,B,3,8,0.783857364,0.750548082,0.734006532,0.867120501,0.633680406,0.633824088,1,2.583835101
355,4,B,2,43,0.650459979,0.750437163,0.667213499,1.18376176,0.583875363,3.483734366,1,3.500607884
356,4,B,3,4,0.483841338,0.467152158,0.433623802,0.633771589,0.450414822,0.400472807,1,1.300550885
357,4,B,1,2,0.617119119,0.600452045,0.58372655,0.566995135,1.833806483,1.033846903,1,8.100119287
358,4,B,3,9,0.617195697,0.500098288,0.517441929,0.550488715,0.617166487,0.50065012,1,3.7504269
359,4,B,3,3,0.367091291,0.466738086,0.367212473,0.367139448,0.350445137,0.350543819,1,1.28392881
360,4,B,3,43,0.500504465,0.40042465,0.383857443,0.350468031,0.333821088,0.367188394,1,1.050519504
361,4,B,2,53,0.383401529,0.617158987,0.550455558,0.567084738,1.10052507,1.083757339,1,4.817084541
362,4,B,1,23,0.433792746,0.433849193,0.483853574,0.450485084,0.667170474,1.16708837,1,1.850471979
363,4,B,3,24,0.367329313,0.683820575,0.483874495,0.400502017,0.367164711,0.417148961,1,2.01714825
364,4,B,2,51,0.383821127,0.400657541,1.733827719,0.867068002,0.567128553,1.967132816,1,2.150402348
365,4,B,1,18,0.350501189,0.650390506,0.533698485,0.700533833,1.550606345,0.733779562,1,3.250612029
366,4,B,2,52,0.433447358,0.517015621,0.6504434,0.533785325,0.733785089,2.400444782,1,4.300488912
367,4,B,3,30,0.333721221,0.600557832,0.53380822,0.516813125,0.400590437,0.40062991,1,1.966978477
368,4,B,3,48,0.617282932,0.617230038,0.517022726,0.450545872,0.550305955,0.45051982,1,1.800685093
369,4,B,1,19,0.666789559,0.633832377,0.73375351,0.682590991,0.985057895,1.617320431,1,4.867331681
370,4,B,3,29,1.366944451,0.667137316,0.81718046,0.667313366,0.517218907,0.617214249,1,2.800437992
371,4,B,3,28,0.567183026,0.433973138,0.46711308,0.500538017,0.567235525,0.450513109,1,1.733881797
372,4,B,1,26,0.767260551,0.750436374,0.617188592,0.667127448,0.917240143,0.683815838,1,6.350586845
373,4,B,1,30,0.867335629,0.800453387,0.717249459,0.650152879,0.883837311,0.967267814,1,2.117296353
374,4,B,3,55,0.600452045,0.550446874,0.483836206,0.466697035,0.417068831,0.467190052,1,1.300468387
375,4,B,3,60,0.417156066,0.467175052,0.433786036,0.400559648,0.383909547,0.417124488,1,1.433755642
376,4,B,3,39,0.583811022,0.450478373,0.567103685,0.583849311,0.917088962,0.517162855,1,1.133723432
377,4,B,3,20,0.500578674,0.600559411,0.566907505,0.467182552,0.483835022,0.600510859,1,2.683792549
378,4,B,2,63,0.450532846,0.483820022,0.65050182,0.650518004,0.917204618,1.783985256,1,11.0638523
379,4,B,3,16,0.500246311,0.533852035,0.550335955,0.467293471,0.450474821,0.467058212,1,2.584022598
380,4,B,2,57,0.466839927,0.550523057,0.500531701,0.967321497,0.58379168,2.733968243,1,4.434147214
381,4,B,2,62,0.517145882,0.667090738,0.617101356,1.400483465,0.617283327,1.983842916,1,7.317303616
382,4,B,1,32,0.433788799,0.533842956,0.533795194,0.567179079,3.050531346,0.78384868,1,4.850561187
383,4,B,3,40,0.467102817,0.467110711,0.500434598,0.333813983,0.367184052,0.350109616,1,1.600403098
912,5,B,3,10,0.784009335,0.867124053,0.867153263,0.91690107,0.850460137,0.867152079,1,1.300417861
